Num	Len	 SubL	 Cost	 SubC	 SE	 SU	 Time	 OL	 CL	 MM	MT
65	133	1.0	132	1.0	1109	2086	6	360	1108	1287	0	0	0	0	0	0			
66	162	1.0	161	1.0	1674	3232	11	1189	1673	2862	0	0	0	0	0	0			
67	170	1.0	169	1.0	3143	5799	37	211	3142	3331	0	0	0	0	0	0			
68	130	1.0	129	1.0	1701	3246	8	1150	1700	2520	0	0	0	0	0	0			
69	148	1.0	147	1.0	1682	3218	7	1076	1681	2343	0	0	0	0	0	0			
70	140	1.0	139	1.0	1431	2776	16	1155	1430	2585	0	0	0	0	0	0			
71	151	1.0	150	1.0	461	939	1	230	460	690	0	0	0	0	0	0			
72	135	1.0	134	1.0	224	498	1	240	223	463	0	0	0	0	0	0			
73	166	1.0	165	1.0	2501	4697	9	991	2500	2683	0	0	0	0	0	0			
74	126	1.0	125	1.0	2172	3961	6	176	2171	2271	0	0	0	0	0	0			
75	141	1.0	140	1.0	2229	4162	8	316	2228	2381	0	0	0	0	0	0			
76	140	1.0	139	1.0	2379	4448	23	1067	2378	2562	0	0	0	0	0	0			
77	139	1.0	138	1.0	2111	3984	11	1091	2110	2367	0	0	0	0	0	0			
78	125	1.0	124	1.0	848	1620	3	386	847	1233	0	0	0	0	0	0			
79	150	1.0	149	1.0	2184	4092	10	892	2183	2315	0	0	0	0	0	0			
80	151	1.0	150	1.0	2430	4546	39	1417	2429	3069	0	0	0	0	0	0			
81	145	1.0	144	1.0	1920	3572	6	333	1919	2049	0	0	0	0	0	0			
82	123	1.0	122	1.0	1208	2332	7	770	1207	1668	0	0	0	0	0	0			
83	160	1.0	159	1.0	1786	3429	11	1108	1785	2676	0	0	0	0	0	0			
84	147	1.0	146	1.0	1707	3309	13	1478	1706	3184	0	0	0	0	0	0			
85	137	1.0	136	1.0	2734	5080	12	277	2733	2938	0	0	0	0	0	0			
86	168	1.0	167	1.0	2779	5212	38	744	2778	2958	0	0	0	0	0	0			
87	130	1.0	129	1.0	388	758	6	200	387	587	0	0	0	0	0	0			
88	157	1.0	156	1.0	3125	5809	15	422	3124	3258	0	0	0	0	0	0			
89	137	1.0	136	1.0	1974	3659	6	161	1973	2134	0	0	0	0	0	0			
90	127	1.0	126	1.0	1433	2765	5	949	1432	2199	0	0	0	0	0	0			
91	164	1.0	163	1.0	3229	5967	37	501	3228	3425	0	0	0	0	0	0			
92	152	1.0	151	1.0	649	1247	2	210	648	858	0	0	0	0	0	0			
93	142	1.0	141	1.0	963	1850	11	411	962	1083	0	0	0	0	0	0			
94	138	1.0	137	1.0	1143	2118	4	332	1142	1284	0	0	0	0	0	0			
95	131	1.0	130	1.0	474	934	3	199	473	672	0	0	0	0	0	0			
96	141	1.0	140	1.0	1783	3419	11	933	1782	2345	0	0	0	0	0	0			
97	129	1.0	128	1.0	1569	2908	6	295	1568	1676	0	0	0	0	0	0			
98	142	1.0	141	1.0	1674	3130	5	394	1673	1818	0	0	0	0	0	0			
99	133	1.0	132	1.0	2537	4757	10	1056	2536	2692	0	0	0	0	0	0			
100	140	1.0	139	1.0	1559	2993	2	863	1558	2069	0	0	0	0	0	0			
